Cena za m2,Poziom,Umeblowanie,Rynek,Rodzaj zabudowy,Powierzchnia,Liczba pokoi
15093.81,5,Tak,Wtórny,Apartamentowiec,35.71,2
8976.41,1,Tak,Wtórny,Blok,50.02,2
10134.33,2,Tak,Wtórny,Blok,67.0,3
4200.0,1,Nie,Wtórny,Blok,50.0,2
5054.64,3,Nie,Wtórny,Blok,36.6,1
21271.31,5,Nie,Wtórny,Kamienica,28.16,2
8594.25,Parter,Nie,Wtórny,Blok,31.3,1
5897.96,3,Tak,Wtórny,Blok,49.0,2
4948.98,1,Tak,Wtórny,Kamienica,98.0,4
6346.15,2,Tak,Wtórny,Blok,52.0,2
15291.94,Parter,Tak,Wtórny,Kamienica,21.58,1
7727.27,4,Nie,Pierwotny,Kamienica,110.0,2
11611.22,Parter,Nie,Pierwotny,Pozostałe,61.32,4
7073.91,1,Tak,Wtórny,Blok,66.3,3
7258.06,1,Nie,Pierwotny,Apartamentowiec,62.0,2
8835.19,2,Nie,Pierwotny,Apartamentowiec,54.0,3
6555.56,2,Tak,Wtórny,Blok,45.0,2
24038.46,4,Tak,Wtórny,Blok,31.2,2
8294.21,9,Tak,Wtórny,Blok,63.9,4
4800.0,9,Tak,Wtórny,Blok,50.0,2
7272.73,4,Tak,Wtórny,Blok,44.0,2
5132.45,4,Tak,Wtórny,Blok,60.4,3
18136.36,1,Tak,Wtórny,Apartamentowiec,22.0,1
6216.22,1,Nie,Wtórny,Blok,37.0,1
7812.5,Parter,Tak,Wtórny,Blok,48.0,2
2558.85,1,Nie,Wtórny,Kamienica,58.62,3
6315.79,Parter,Nie,Wtórny,Blok,38.0,2
6897.44,3,Nie,Pierwotny,Apartamentowiec,39.0,2
7500.0,3,Tak,Wtórny,Blok,50.0,2
10975.1,1,Tak,Pierwotny,Apartamentowiec,48.2,2
6363.64,3,Tak,Wtórny,Blok,55.0,2
11162.79,2,Tak,Pierwotny,Blok,43.0,2
4141.51,2,Nie,Wtórny,Kamienica,106.0,3
16666.67,Parter,Tak,Pierwotny,Apartamentowiec,36.0,2
5428.57,4,Tak,Wtórny,Blok,70.0,4
9090.89,2,Nie,Wtórny,Blok,55.0,3
15166.67,3,Tak,Wtórny,Blok,48.0,2
11647.06,2,Tak,Wtórny,Kamienica,102.0,4
5073.65,3,Nie,Wtórny,Blok,61.1,2
14980.0,5,Tak,Wtórny,Blok,50.0,3
4567.9,Parter,Tak,Wtórny,Kamienica,81.0,2
6082.47,4,Nie,Wtórny,Blok,48.5,2
14831.68,9,Tak,Wtórny,Blok,50.5,2
9224.75,3,Tak,Wtórny,Blok,53.66,2
6857.14,2,Nie,Wtórny,Blok,70.0,3
7425.59,1,Nie,Pierwotny,Apartamentowiec,63.16,3
6270.36,Parter,Tak,Wtórny,Blok,61.4,3
5788.48,4,Tak,Wtórny,Blok,68.93,3
8066.18,1,Tak,Wtórny,Blok,48.35,2
24827.59,4,Tak,Wtórny,Blok,29.0,1
5833.33,1,Nie,Wtórny,Kamienica,72.0,4
6710.53,Parter,Tak,Wtórny,Blok,38.0,2
4257.14,Parter,Tak,Wtórny,Kamienica,70.0,3
7570.72,2,Tak,Wtórny,Blok,60.1,3
7370.15,2,Nie,Wtórny,Blok,33.5,1
6729.73,7,Nie,Wtórny,Blok,37.0,2
16211.39,1,Tak,Wtórny,Apartamentowiec,39.17,2
10429.45,Parter,Nie,Wtórny,Pozostałe,44.01,3
16255.81,5,Tak,Wtórny,Kamienica,43.0,3
8617.02,1,Tak,Wtórny,Blok,47.0,2
6939.39,Parter,Tak,Wtórny,Kamienica,33.0,2
14933.84,3,Tak,Wtórny,Blok,52.9,3
11176.47,Parter,Tak,Wtórny,Blok,85.0,4
10990.71,2,Nie,Wtórny,Blok,32.3,2
8611.11,1,Tak,Wtórny,Blok,36.0,2
4776.12,1,Nie,Wtórny,Blok,67.0,3
7128.1,2,Tak,Wtórny,Blok,48.4,2
5915.49,2,Nie,Wtórny,Blok,71.0,4
15000.0,5,Tak,Wtórny,Apartamentowiec,65.0,3
5945.4,4,Tak,Wtórny,Blok,59.71,3
6468.93,3,Tak,Wtórny,Blok,35.4,2
16829.27,5,Tak,Wtórny,Apartamentowiec,41.0,1
13500.0,7,Tak,Wtórny,Blok,54.0,3
12605.26,2,Nie,Wtórny,Blok,38.0,2
7037.77,2,Tak,Wtórny,Blok,50.3,3
20405.45,1,Tak,Wtórny,Blok,67.58,3
1788.45,3,Nie,Wtórny,Blok,634.07,4
2663.04,Parter,Tak,Wtórny,Kamienica,92.0,2
6804.12,4,Nie,Wtórny,Blok,48.5,3
8583.33,1,Tak,Wtórny,Blok,36.0,2
7218.93,9,Nie,Wtórny,Blok,33.8,2
18202.63,1,Tak,Wtórny,Apartamentowiec,87.35,3
13781.61,2,Nie,Wtórny,Kamienica,87.0,4
6236.84,3,Nie,Wtórny,Blok,38.0,2
5102.04,1,Tak,Wtórny,Blok,49.0,3
31666.67,Parter,Tak,Wtórny,Apartamentowiec,30.0,2
11961.72,4,Tak,Wtórny,Blok,54.34,3
9302.33,1,Tak,Wtórny,Blok,47.3,3
2631.58,3,Tak,Pierwotny,Blok,38.0,2
10134.33,2,Tak,Wtórny,Blok,67.0,3
5000.0,1,Nie,Wtórny,Blok,66.0,3
13400.0,5,Tak,Wtórny,Blok,50.0,3
4163.64,1,Tak,Wtórny,Kamienica,55.0,2
7978.72,Parter,Tak,Wtórny,Kamienica,18.8,1
2857.14,Parter,Nie,Wtórny,Kamienica,70.0,3
5000.0,4,Tak,Wtórny,Blok,49.0,2
12257.28,2,Tak,Wtórny,Apartamentowiec,41.2,2
6843.14,8,Tak,Wtórny,Blok,51.0,3
4257.14,Parter,Tak,Wtórny,Kamienica,70.0,3
5000.0,1,Tak,Wtórny,Blok,54.0,2
5147.06,1,Tak,Wtórny,Kamienica,34.0,2
4939.94,3,Nie,Wtórny,Kamienica,66.6,2
6978.29,1,Tak,Wtórny,Blok,45.14,2
12414.63,3,Tak,Wtórny,Kamienica,41.0,1
11666.67,2,Nie,Wtórny,Kamienica,24.0,1
9777.78,1,Tak,Wtórny,Blok,45.0,2
6589.79,1,Tak,Wtórny,Blok,60.7,3
4897.96,1,Tak,Wtórny,Blok,49.0,2
11421.32,1,Tak,Wtórny,Blok,31.52,1
12765.96,7,Nie,Wtórny,Blok,47.0,3
15784.59,5,Tak,Wtórny,Blok,32.31,1
7439.22,3,Nie,Wtórny,Blok,61.7,3
11611.22,Parter,Nie,Pierwotny,Pozostałe,61.32,4
7380.9,2,Tak,Wtórny,Blok,21.0,1
12216.99,3,Nie,Pierwotny,Blok,44.61,2
16481.48,9,Tak,Wtórny,Blok,27.0,1
9701.49,Parter,Tak,Wtórny,Blok,67.0,4
9367.35,Parter,Tak,Wtórny,Blok,49.0,3
6000.0,1,Nie,Pierwotny,Pozostałe,76.0,3
8095.24,1,Nie,Pierwotny,Blok,42.0,2
7803.12,10,Nie,Wtórny,Blok,66.64,4
27871.15,Parter,Tak,Pierwotny,Apartamentowiec,35.7,2
4814.81,2,Tak,Pierwotny,Blok,27.0,1
9846.15,Parter,Tak,Wtórny,Blok,65.0,3
9383.12,3,Nie,Wtórny,Blok,30.8,2
9910.71,Parter,Tak,Wtórny,Blok,56.0,3
23980.0,4,Tak,Wtórny,Apartamentowiec,50.0,2
14659.09,3,Tak,Wtórny,Apartamentowiec,44.0,2
12300.0,5,Tak,Wtórny,Blok,30.0,2
8419.08,2,Tak,Wtórny,Blok,32.07,2
8953.72,2,Nie,Wtórny,Blok,49.7,2
8333.33,3,Tak,Wtórny,Blok,61.2,3
6236.84,3,Nie,Wtórny,Blok,38.0,2
6249.86,3,Tak,Wtórny,Blok,72.0,3
14032.26,3,Tak,Wtórny,Blok,31.0,1
4148.94,Parter,Tak,Wtórny,Blok,47.0,2
4166.67,1,Tak,Wtórny,Blok,60.0,3
11556.89,1,Tak,Wtórny,Blok,50.1,3
1984.13,Parter,Tak,Pierwotny,Blok,63.0,3
5303.03,4,Tak,Wtórny,Blok,66.0,3
8000.0,3,Nie,Pierwotny,Blok,30.0,1
1539.23,1,Tak,Wtórny,Kamienica,100.7,4
5700.68,3,Tak,Wtórny,Blok,73.5,4
7385.96,2,Tak,Wtórny,Blok,57.0,3
7369.57,2,Tak,Wtórny,Blok,46.0,2
7300.0,2,Nie,Pierwotny,Blok,49.67,3
10754.72,1,Tak,Wtórny,Blok,53.0,2
8325.58,Parter,Tak,Wtórny,Pozostałe,21.5,1
8200.0,3,Nie,Pierwotny,Blok,38.07,2
6155.51,4,Tak,Wtórny,Blok,46.3,3
8340.97,4,Nie,Pierwotny,Blok,43.64,2
6581.46,1,Nie,Pierwotny,Pozostałe,68.07,3
1935.37,Parter,Nie,Wtórny,Kamienica,294.0,4
17500.0,4,Tak,Pierwotny,Kamienica,25.6,1
19751.69,Parter,Tak,Wtórny,Apartamentowiec,88.6,3
8000.0,4,Nie,Wtórny,Blok,51.0,3
13646.36,2,Tak,Wtórny,Kamienica,49.09,3
4713.11,1,Tak,Wtórny,Blok,48.8,2
6640.63,7,Tak,Wtórny,Blok,51.2,3
15797.93,3,Tak,Wtórny,Blok,56.02,3
7500.0,4,Tak,Wtórny,Blok,34.0,2
12257.28,2,Tak,Wtórny,Apartamentowiec,41.2,2
5206.52,1,Tak,Wtórny,Kamienica,92.0,3
6929.13,2,Tak,Wtórny,Blok,63.5,3
11466.67,Parter,Tak,Wtórny,Apartamentowiec,37.5,2
4480.7,Parter,Tak,Wtórny,Blok,43.52,2
16304.35,4,Tak,Wtórny,Apartamentowiec,46.0,2
7485.03,Parter,Nie,Wtórny,Blok,36.74,2
